config,fah_target,threshold,val_sens,test_fah,test_sens,test_warning_time
baseline,0.1,0.5,0.0,2.595529920692141,0.0,0.0
baseline,0.2,0.5,0.0,2.595529920692141,0.0,0.0
baseline,0.5,0.8415151515151514,0.25,1.9033886085075702,0.0,0.0
baseline,1.0,0.46535353535353535,0.25,2.4224945926459984,0.3333333333333333,240.0
ema_0.2,0.1,0.5,0.0,0.8651766402307137,0.0,0.0
ema_0.2,0.2,0.5,0.0,0.8651766402307137,0.0,0.0
ema_0.2,0.5,0.3564646464646465,0.25,2.076423936553713,0.0,0.0
ema_0.2,1.0,0.25747474747474747,0.25,2.768565248738284,0.0,0.0
ema_0.3,0.1,0.5,0.0,1.9033886085075702,0.0,0.0
ema_0.3,0.2,0.5,0.0,1.9033886085075702,0.0,0.0
ema_0.3,0.5,0.40595959595959596,0.25,2.076423936553713,0.0,0.0
ema_0.3,1.0,0.2871717171717172,0.25,2.768565248738284,0.0,0.0
ma_6,0.1,0.5,0.0,1.0382119682768565,0.0,0.0
ma_6,0.2,0.5,0.0,1.0382119682768565,0.0,0.0
ma_6,0.5,0.37626262626262624,0.25,2.2494592645998557,0.0,0.0
ma_6,1.0,0.24757575757575756,0.25,2.768565248738284,0.0,0.0
persist_3,0.1,0.5,0.0,2.595529920692141,0.0,0.0
persist_3,0.2,0.5,0.0,2.595529920692141,0.0,0.0
persist_3,0.5,0.8415151515151514,0.25,1.9033886085075702,0.0,0.0
persist_3,1.0,0.46535353535353535,0.25,2.4224945926459984,0.3333333333333333,240.0
persist_5,0.1,0.5,0.0,2.595529920692141,0.0,0.0
persist_5,0.2,0.5,0.0,2.595529920692141,0.0,0.0
persist_5,0.5,0.8415151515151514,0.25,1.9033886085075702,0.0,0.0
persist_5,1.0,0.46535353535353535,0.25,2.4224945926459984,0.3333333333333333,240.0
hysteresis,0.1,0.5,0.0,2.595529920692141,0.0,0.0
hysteresis,0.2,0.5,0.0,2.595529920692141,0.0,0.0
hysteresis,0.5,0.8415151515151514,0.25,1.9033886085075702,0.0,0.0
hysteresis,1.0,0.46535353535353535,0.25,2.4224945926459984,0.3333333333333333,240.0
ema+persist,0.1,0.5,0.0,0.8651766402307137,0.0,0.0
ema+persist,0.2,0.5,0.0,0.8651766402307137,0.0,0.0
ema+persist,0.5,0.3564646464646465,0.25,2.076423936553713,0.0,0.0
ema+persist,1.0,0.25747474747474747,0.25,2.768565248738284,0.0,0.0
full_combo,0.1,0.5,0.0,0.8651766402307137,0.0,0.0
full_combo,0.2,0.5,0.0,0.8651766402307137,0.0,0.0
full_combo,0.5,0.3564646464646465,0.25,2.076423936553713,0.0,0.0
full_combo,1.0,0.25747474747474747,0.25,2.768565248738284,0.0,0.0
